case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001280,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,15.572412675246596,0.25856465138164014,1.082681355628225,0.13443592408646468,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001280
case_bench_fmu-001292,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.61228193435818,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001292
case_bench_fmu-001284,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.651726466603577,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001284
case_bench_fmu-001288,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.755935651715845,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001288
case_bench_fmu-001523,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,24.7844904740341,31.000000005100052,31.00000000510005,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001523
case_bench_fmu-001535,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,24.40636068303138,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001535
case_bench_fmu-001524,benchmark_single_fmu_case,complex,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.264644792769104,4.307537586207421,4.6888753699884065,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001524
case_bench_fmu-001539,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.3041982492432,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001539
case_bench_fmu-001541,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.397145966999233,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001541
case_bench_fmu-001543,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.314503254834563,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001543
case_bench_fmu-001559,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.229466838762164,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001559
case_bench_fmu-001555,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.42152601107955,0.25856465138164014,1.082681355628225,0.13443592408646468,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001555
case_bench_fmu-001563,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.335716001223773,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001563
case_bench_fmu-001567,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,30.299109081272036,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001567
case_bench_fmu-001569,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,28.143485066946596,0.005570806095996394,0.010503658127964048,0.00023958735475656986,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001569
case_bench_fmu-001570,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.276165743824095,4.307496493730777,4.688809679811407,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001570
case_bench_fmu-001571,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.245193930808455,43.442640703146,43.442640703146,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001571
case_bench_fmu-001572,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.27814031112939,28.000000000000075,28.160255680657524,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001572
case_bench_fmu-001574,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,27.132354522123933,3.5372964572917107,4.657938484217712,0.10722042695439545,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001574
case_bench_fmu-001573,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.25770188169554,4.307496493730777,4.688809679811407,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001573
case_bench_fmu-001575,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,23.8360685701482,0.0055242257814866556,0.010448118548629468,0.00023832050311134575,True,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001575
case_bench_fmu-001576,benchmark_single_fmu_case,complex,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.226401754189283,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001576
case_bench_fmu-001577,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.2783359461464,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001577
case_bench_fmu-001578,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.26832053810358,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001578
case_bench_fmu-001579,benchmark_single_fmu_case,complex,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.28976139985025,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001579
case_bench_fmu-001583,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,True,True,True,18.121103458106518,3.430786459454397,4.45245321977421,0.10346837236211587,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001583
case_bench_fmu-001580,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.236889806110412,43.03202145861184,43.03202145861184,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001580
case_bench_fmu-001581,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.258827510289848,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001581
case_bench_fmu-001582,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.24870137590915,4.307496493730778,4.688809679811409,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001582
case_bench_fmu-001584,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.22873802576214,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001584
case_bench_fmu-001586,benchmark_single_fmu_case,simple,1,True,baseline_b2_llm_retrieval_rule,False,False,True,30.25166674098,28.000000000000064,28.160255680657514,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_baseline_b2_llm_retrieval_rule/case_bench_fmu-001586
